user_id,end_week,is_dropout_point,spectral_agg,spectral_eucl,kmeans_flat,kmeans_eucl
389888,27,1,0,2,0,3
389890,20,0,0,2,0,3
389890,28,1,0,3,0,1
389891,30,0,0,1,0,0
389894,14,1,0,1,0,0
389905,18,0,0,3,0,1
389918,21,1,0,1,0,0
389918,29,1,0,1,0,0
389920,14,0,0,1,0,0
389920,17,0,0,1,0,0
389935,14,0,0,1,0,0
389935,33,1,0,1,0,0
389944,53,0,0,1,0,0
389945,51,0,0,1,0,0
389946,13,1,0,1,0,0
389946,26,1,0,1,0,0
389946,36,1,0,2,0,3
389946,38,1,0,3,0,1
389950,13,1,0,2,0,3
389950,55,0,0,2,0,3
389951,43,1,0,1,0,0
389951,68,1,0,3,0,1
389955,15,0,0,3,2,1
389959,18,0,0,2,0,3
389959,19,0,0,2,0,3
389959,48,0,0,3,2,1
389961,14,0,0,2,0,1
389962,24,1,0,1,0,0
389964,55,0,0,1,0,0
389966,35,0,0,2,0,3
389966,42,1,0,3,0,1
389967,20,1,0,1,0,0
389967,38,1,0,1,0,0
389968,42,0,0,1,2,3
389968,52,0,0,2,3,3
389969,17,1,0,1,0,0
389969,21,0,0,1,0,0
389969,31,0,0,3,0,1
389970,13,0,0,0,0,2
389971,23,1,0,0,0,0
389971,30,0,0,1,0,0
389971,34,1,0,1,0,0
389971,36,1,0,1,0,0
389973,62,1,0,2,0,3
389974,30,0,0,1,0,0
389976,21,1,0,1,0,0
389977,41,1,0,1,0,0
389977,49,0,0,1,0,0
389981,16,1,0,0,1,2
389981,21,1,0,2,0,3
389984,25,1,0,3,0,1
389984,47,0,0,1,0,0
389985,47,1,0,1,0,0
390022,36,1,0,1,0,0
390022,44,0,0,1,0,0
390022,49,0,0,1,0,0
390025,23,1,0,2,0,3
390025,33,1,0,1,0,0
390025,41,1,0,1,0,0
390025,48,1,0,1,0,0
390025,57,0,0,1,0,0
390032,18,1,0,1,0,0
390063,28,0,0,1,0,0
390087,13,1,0,1,0,0
390088,11,1,0,0,0,2
390090,30,0,0,1,0,0
390093,11,1,0,0,0,2
390093,40,0,0,2,0,3
390093,46,0,0,3,0,1
390094,18,0,0,1,0,0
390129,14,1,0,1,0,0
390131,14,1,0,1,0,0
390131,23,0,0,1,0,0
390134,13,0,0,2,2,3
390135,22,1,0,3,0,1
390135,56,0,0,1,0,2
390135,59,0,0,0,0,0
390135,62,0,0,1,0,0
390135,65,0,0,1,0,0
390143,29,1,0,1,0,0
390143,46,1,0,1,0,0
390168,20,0,0,2,0,3
390168,47,1,0,3,2,1
390176,11,0,0,0,1,2
390176,12,0,0,3,0,1
390308,22,1,0,2,0,3
390308,32,0,0,1,0,0
390312,20,1,0,1,0,0
390318,22,1,0,1,0,0
390318,39,0,0,1,0,0
390318,42,0,0,1,0,0
390321,25,1,0,1,0,0
390321,53,0,0,0,0,2
390322,27,1,0,1,0,0
390323,11,0,0,0,1,2
390323,26,0,0,1,0,0
390324,45,1,0,0,1,2
390324,62,0,0,1,0,0
390326,24,0,0,2,0,3
390326,28,0,0,2,0,3
