user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,school_type,end_week,is_dropout_point,cluster_spectral_eucl,spectral_agg,kmeans_flat,kmeans_eucl,stage2_outcome,canton_top,engagement_score,engagement_level
394584,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,53,1,0,0,1,0,1,Unknown,0.035975966594934475,Medium
394586,MALE,BL,Gymnasium,0,2,1,Secondary,Academic,20,1,0,0,1,0,1,BL,0.04077787893541162,Medium
394586,MALE,BL,Gymnasium,0,2,1,Secondary,Academic,26,1,0,0,1,0,1,BL,0.04077787893541162,Medium
394586,MALE,BL,Gymnasium,0,2,1,Secondary,Academic,35,1,0,0,1,0,1,BL,0.04077787893541162,Medium
394587,MALE,BL,Gymnasium,0,2,1,Secondary,Academic,12,1,0,0,1,0,1,BL,0.04136091109062515,Medium
394587,MALE,BL,Gymnasium,0,2,1,Secondary,Academic,34,1,0,0,1,0,1,BL,0.04136091109062515,Medium
394587,MALE,BL,Gymnasium,0,2,1,Secondary,Academic,35,1,0,0,1,0,1,BL,0.04136091109062515,Medium
394587,MALE,BL,Gymnasium,0,2,1,Secondary,Academic,36,1,0,0,1,0,1,BL,0.04136091109062515,Medium
394587,MALE,BL,Gymnasium,0,2,1,Secondary,Academic,67,1,0,0,1,0,1,BL,0.04136091109062515,Medium
394588,FEMALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,31,1,0,0,1,0,1,AG,0.1940731686249121,High
394588,FEMALE,AG,Kurzzeitgymnasium,0,1,1,Secondary,Academic,45,0,0,0,1,0,0,AG,0.1940731686249121,High
394595,FEMALE,SO,FMS,0,1,1,Tertiary_Apprentice,Vocational,12,1,2,0,0,2,1,SO,0.10486565536753525,High
394600,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,23,0,3,0,3,3,0,Unknown,0.169824731012394,High
394600,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,30,1,3,0,3,3,1,Unknown,0.169824731012394,High
394600,Unknown,Unknown,Unknown,0,0,1,Unknown,Unknown,41,0,0,0,1,3,0,Unknown,0.169824731012394,High
394601,FEMALE,SO,Gymnasium,0,1,1,Secondary,Academic,21,0,0,0,1,0,0,SO,0.023388812449367895,Low
394602,MALE,SO,Gymnasium,0,1,1,Secondary,Academic,22,0,3,0,1,1,0,SO,0.01152511724702398,Low
394602,MALE,SO,Gymnasium,0,1,1,Secondary,Academic,28,0,3,0,3,1,0,SO,0.01152511724702398,Low
394602,MALE,SO,Gymnasium,0,1,1,Secondary,Academic,29,0,3,0,3,1,0,SO,0.01152511724702398,Low
394603,FEMALE,SO,Gymnasium,0,1,1,Secondary,Academic,16,1,0,0,1,0,1,SO,0.012417613743141211,Low
394604,MALE,SO,Gymnasium,0,1,1,Secondary,Academic,39,1,0,0,1,0,1,SO,0.011644055169615787,Low
394604,MALE,SO,Gymnasium,0,1,1,Secondary,Academic,60,0,1,0,1,3,0,SO,0.011644055169615787,Low
394605,MALE,SO,Gymnasium,0,1,1,Secondary,Academic,36,0,1,0,3,3,0,SO,0.028691843489053813,Medium
