user_id,gender,canton,school,study,class_year,continuation_indicator,education_level,end_week,is_dropout_point,cluster_spectral,spectral_agg,kmeans_flat,kmeans_eucl,cluster_kmeans,stage2_outcome,engagement_score,engagement_level,school_type
388077,FEMALE,SG,Gymnasium,0,2,1,Secondary,31,0,0,0,1,0,0,0,169.0,High,Academic
388078,FEMALE,SG,Gymnasium,0,2,1,Secondary,21,1,2,0,0,2,2,1,411.0,High,Academic
388078,FEMALE,SG,Gymnasium,0,2,1,Secondary,34,1,0,0,1,0,0,1,238.0,High,Academic
388093,FEMALE,SG,Gymnasium,0,2,1,Secondary,17,0,1,0,3,1,1,0,305.0,High,Academic
388097,Unknown,Unknown,Unknown,0,0,1,Unknown,22,1,1,0,1,3,1,1,361.0,High,Other
388097,Unknown,Unknown,Unknown,0,0,1,Unknown,48,1,0,0,1,0,0,1,150.0,Medium,Other
388097,Unknown,Unknown,Unknown,0,0,1,Unknown,52,0,0,0,1,0,0,0,113.0,Medium,Other
388097,Unknown,Unknown,Unknown,0,0,1,Unknown,70,1,2,0,0,2,2,1,331.0,High,Other
388100,Unknown,Unknown,Unknown,0,0,1,Unknown,12,0,3,0,3,1,3,0,337.0,High,Other
388100,Unknown,Unknown,Unknown,0,0,1,Unknown,44,0,0,0,1,0,0,0,43.0,Low,Other
388101,FEMALE,SG,Gymnasium,0,3,1,Secondary,11,1,2,0,0,2,2,1,338.0,High,Academic
388101,FEMALE,SG,Gymnasium,0,3,1,Secondary,25,1,0,0,1,0,0,1,198.0,High,Academic
388102,FEMALE,SG,Gymnasium,0,3,1,Secondary,14,1,0,0,1,0,0,1,4.0,Low,Academic
388102,FEMALE,SG,Gymnasium,0,3,1,Secondary,27,0,0,0,1,0,0,0,105.0,Medium,Academic
388103,FEMALE,SG,Gymnasium,0,3,1,Secondary,21,1,0,0,1,0,0,1,82.0,Medium,Academic
388103,FEMALE,SG,Gymnasium,0,3,1,Secondary,38,0,0,0,1,0,0,0,241.0,High,Academic
388104,FEMALE,SG,Gymnasium,0,3,1,Secondary,33,0,0,0,1,0,0,0,61.0,Low,Academic
388105,FEMALE,SG,Gymnasium,0,3,1,Secondary,14,1,0,0,1,0,0,1,118.0,Medium,Academic
388110,FEMALE,SG,Gymnasium,0,3,1,Secondary,12,1,2,0,1,2,2,1,2251.0,High,Academic
388110,FEMALE,SG,Gymnasium,0,3,1,Secondary,41,0,3,0,1,3,3,0,98.0,Medium,Academic
388110,FEMALE,SG,Gymnasium,0,3,1,Secondary,43,1,3,0,1,3,3,1,15.0,Low,Academic
